Bairro,População,Criticidade,Impacto (m2),Custo (R$ mil)
Bairro 5060,13139,10,1683,50
Bairro 5061,27063,1,2658,21
Bairro 5062,5945,1,2674,80
Bairro 5063,7138,4,2978,40
Bairro 5064,10950,3,1126,44
Bairro 5065,27368,3,1709,84
Bairro 5066,53280,6,987,70
Bairro 5067,31705,4,768,148
Bairro 5068,55823,8,2434,40
Bairro 5069,44865,8,1835,28
Bairro 5070,27590,1,2352,40
Bairro 5071,22108,10,2869,48
Bairro 5072,40468,7,2267,27
Bairro 5073,44828,6,2850,61
Bairro 5074,24056,6,1263,67
Bairro 5075,30268,2,1009,87
Bairro 5076,35381,8,1353,128
Bairro 5077,55405,9,2114,66
Bairro 5078,24450,2,2690,76
Bairro 5079,55177,8,2057,143
Bairro 5080,31452,6,2287,39
Bairro 5081,17195,10,926,80
Bairro 5082,52733,10,2583,55
Bairro 5083,25496,3,2816,29
Bairro 5084,13528,4,2413,111
Bairro 5085,54026,10,2635,133
Bairro 5086,7631,5,2566,48
Bairro 5087,20422,9,1486,51
Bairro 5088,35216,2,2433,78
Bairro 5089,21545,6,891,36
Bairro 5090,25159,3,800,114
Bairro 5091,54348,1,1157,124
Bairro 5092,35378,9,2368,26
Bairro 5093,51752,8,1140,54
Bairro 5094,14781,3,2890,55
Bairro 5095,41919,7,1781,62
Bairro 5096,54985,9,1447,87
Bairro 5097,58770,9,1293,138
Bairro 5098,58853,7,980,78
Bairro 5099,21783,10,2281,131
Bairro 5100,12575,2,2284,48
Bairro 5101,31168,7,797,125
Bairro 5102,4712,2,2143,136
Bairro 5103,35621,2,2440,62
Bairro 5104,44629,3,2093,113
Bairro 5105,33035,10,1304,144
Bairro 5106,22020,2,2326,66
Bairro 5107,40341,5,907,33
Bairro 5108,46378,2,1271,55
Bairro 5109,55681,10,2855,43
Bairro 5110,14819,5,1791,122
Bairro 5111,23813,10,2122,33
Bairro 5112,18029,8,2966,101
Bairro 5113,38670,2,661,95
Bairro 5114,38376,9,2371,111
Bairro 5115,19635,6,604,54
Bairro 5116,21881,4,961,106
Bairro 5117,56526,4,1292,118
Bairro 5118,4662,3,2294,138
Bairro 5119,9310,1,1839,92
Bairro 5120,45464,10,1027,91
Bairro 5121,53328,10,2218,125
Bairro 5122,40670,4,2074,26
Bairro 5123,52500,10,2336,43
Bairro 5124,52156,10,1356,72
Bairro 5125,56545,3,1694,69
Bairro 5126,6990,9,508,85
Bairro 5127,39093,9,1167,46
Bairro 5128,34923,6,1030,43
Bairro 5129,57292,7,2260,137
Bairro 5130,32686,8,1630,89
Bairro 5131,30654,5,1108,138
Bairro 5132,25916,5,2536,141
Bairro 5133,45575,4,1206,54
Bairro 5134,53033,7,2692,70
Bairro 5135,49520,4,625,27
Bairro 5136,32403,8,2346,55
Bairro 5137,12069,6,2058,118
Bairro 5138,19964,8,1620,65
Bairro 5139,57485,3,1871,76
Bairro 5140,41978,3,2533,21
Bairro 5141,19977,5,1039,83
Bairro 5142,30726,4,1371,47
Bairro 5143,19030,8,567,130
Bairro 5144,22044,1,1449,123
Bairro 5145,9311,5,2464,40
Bairro 5146,23440,9,2477,109
Bairro 5147,37101,6,1426,29
Bairro 5148,37224,2,2232,51
Bairro 5149,36113,3,2081,100
Bairro 5150,43229,5,2089,123
Bairro 5151,26717,7,2726,100
Bairro 5152,40224,10,2256,59
Bairro 5153,51541,5,647,133
Bairro 5154,31010,1,2793,79
Bairro 5155,32636,1,2696,57
Bairro 5156,37901,10,2962,98
Bairro 5157,52986,2,564,108
Bairro 5158,25747,7,1837,109
Bairro 5159,12346,6,1016,127
Bairro 5160,21855,3,589,36
Bairro 5161,53740,2,993,118
Bairro 5162,51850,5,1623,128
Bairro 5163,16035,10,2737,116
Bairro 5164,10415,5,1234,125
Bairro 5165,13692,7,2191,117
Bairro 5166,7938,4,2239,88
Bairro 5167,47075,9,1085,69
Bairro 5168,29765,6,2614,78
Bairro 5169,22427,8,2980,78
Bairro 5170,29226,4,1385,36
Bairro 5171,12814,4,1611,70
Bairro 5172,40207,6,2097,55
Bairro 5173,59372,10,773,113
Bairro 5174,56417,5,1932,69
Bairro 5175,18288,5,585,91
Bairro 5176,16543,2,2139,90
Bairro 5177,34350,6,2859,90
Bairro 5178,30203,1,942,115
Bairro 5179,11525,6,1643,93
Bairro 5180,25156,3,1918,128
Bairro 5181,6901,3,1109,123
Bairro 5182,8005,7,1811,46
Bairro 5183,55527,2,1341,38
Bairro 5184,7097,2,1590,39
Bairro 5185,30192,8,2889,138
Bairro 5186,22052,7,2006,38
Bairro 5187,56952,9,1039,31
Bairro 5188,22845,3,2643,131
Bairro 5189,47681,8,2610,139
Bairro 5190,15835,3,505,142
Bairro 5191,25747,6,606,51
Bairro 5192,17543,3,1080,123
Bairro 5193,6916,5,2865,50
Bairro 5194,50915,2,666,85
Bairro 5195,9655,2,2074,132
Bairro 5196,19080,5,561,32
Bairro 5197,16252,1,2927,57
Bairro 5198,6829,7,954,74
Bairro 5199,56034,3,2419,124
Bairro 5200,38584,5,2759,87
Bairro 5201,48716,10,1209,88
Bairro 5202,49965,8,1908,118
Bairro 5203,7634,7,2647,121
Bairro 5204,5231,8,2755,54
Bairro 5205,42947,9,2813,63
Bairro 5206,50525,7,2082,115
Bairro 5207,13243,1,2980,139
Bairro 5208,19467,6,1948,76
Bairro 5209,39341,4,1417,129
Bairro 5210,41707,1,1012,38
Bairro 5211,44423,5,2703,147
Bairro 5212,25076,3,2870,114
Bairro 5213,9146,10,844,56
Bairro 5214,55374,9,1543,34
Bairro 5215,28180,7,2912,38
Bairro 5216,15501,9,1167,76
Bairro 5217,54009,7,2933,126
Bairro 5218,38706,3,532,48
Bairro 5219,29078,8,2822,26
Bairro 5220,30754,2,1041,110
Bairro 5221,42435,5,1540,30
Bairro 5222,19403,3,1529,61
Bairro 5223,53940,6,545,47
Bairro 5224,45781,4,2338,109
Bairro 5225,15610,4,1954,115
Bairro 5226,55279,6,2552,109
Bairro 5227,6751,6,968,146
Bairro 5228,9172,1,631,128
Bairro 5229,46749,9,1380,30
Bairro 5230,39845,7,2416,143
Bairro 5231,21385,5,1744,81
Bairro 5232,26470,8,2518,78
Bairro 5233,47929,1,1298,20
Bairro 5234,23785,1,1814,107
Bairro 5235,12505,7,1376,58
Bairro 5236,50969,5,2739,100
Bairro 5237,4377,7,976,139
Bairro 5238,55182,3,1377,43
Bairro 5239,41198,3,2980,63
Bairro 5240,40526,1,2765,137
Bairro 5241,46519,8,2295,115
Bairro 5242,14998,2,1656,101
Bairro 5243,12214,8,1123,22
Bairro 5244,45031,4,930,101
Bairro 5245,44640,6,2964,101
Bairro 5246,27277,5,2827,80
Bairro 5247,25769,1,1624,94
Bairro 5248,15092,6,1521,29
Bairro 5249,38966,2,1696,35
Bairro 5250,30391,9,956,82
Bairro 5251,12707,9,2220,25
Bairro 5252,12966,4,802,109
Bairro 5253,15339,2,1749,138
Bairro 5254,49077,2,2678,74
Bairro 5255,25469,1,2811,22
Bairro 5256,46356,4,2162,142
Bairro 5257,28748,1,649,87
Bairro 5258,40308,1,1321,23
Bairro 5259,45677,8,2787,81
Bairro 5260,20529,9,2201,113
Bairro 5261,51942,8,768,120
Bairro 5262,32347,6,2872,83
Bairro 5263,42994,10,738,27
Bairro 5264,53868,10,2664,35
Bairro 5265,45004,2,2141,92
Bairro 5266,41041,9,921,32
Bairro 5267,56095,5,2105,96
Bairro 5268,20102,2,2410,118
Bairro 5269,53006,5,2418,132
Bairro 5270,56249,3,2458,144
Bairro 5271,24228,7,1174,133
Bairro 5272,14071,8,552,117
Bairro 5273,55708,7,1310,46
Bairro 5274,5448,4,2551,84
Bairro 5275,44860,5,1102,137
Bairro 5276,10711,8,859,46
Bairro 5277,30886,4,955,69
Bairro 5278,7411,1,1757,100
Bairro 5279,50174,3,1801,122
Bairro 5280,14092,4,1027,67
Bairro 5281,58935,2,2343,113
Bairro 5282,52028,8,2022,37
Bairro 5283,37451,10,2247,119
Bairro 5284,18816,2,2988,84
Bairro 5285,30901,1,1727,138
Bairro 5286,49669,8,2999,43
Bairro 5287,18874,6,994,31
Bairro 5288,36609,10,1040,60
Bairro 5289,4708,4,895,124
Bairro 5290,47818,4,1922,106
Bairro 5291,39739,7,2415,80
Bairro 5292,32696,5,2437,87
Bairro 5293,11105,2,1473,66
Bairro 5294,45874,2,1403,48
Bairro 5295,27074,1,2669,103
Bairro 5296,22658,5,2062,117
Bairro 5297,42406,10,1653,118
Bairro 5298,57040,4,2315,25
Bairro 5299,9790,1,1549,61
Bairro 5300,53377,1,1778,124
Bairro 5301,55259,4,2806,34
Bairro 5302,19784,7,573,31
Bairro 5303,45727,3,2041,113
Bairro 5304,28465,7,2752,51
Bairro 5305,42496,10,2581,100
Bairro 5306,8704,1,703,62
Bairro 5307,14054,1,2794,90
Bairro 5308,17139,3,550,54
Bairro 5309,29670,4,875,20
Bairro 5310,24446,10,1129,42
Bairro 5311,51839,4,1692,77
Bairro 5312,22587,7,2738,53
Bairro 5313,24588,9,1972,32
Bairro 5314,47410,7,933,124
Bairro 5315,14165,9,1751,71
Bairro 5316,17532,1,2485,35
Bairro 5317,53300,3,1702,41
Bairro 5318,22224,4,722,48
Bairro 5319,5948,8,2130,116
Bairro 5320,54732,5,1249,90
Bairro 5321,59318,2,1299,91
Bairro 5322,55096,9,905,117
Bairro 5323,37908,3,1106,62
Bairro 5324,46304,4,2277,63
Bairro 5325,43609,2,918,138
Bairro 5326,58110,2,2335,79
Bairro 5327,27449,2,1300,46
Bairro 5328,23070,1,2857,34
Bairro 5329,54920,7,911,124
Bairro 5330,47654,3,1872,47
Bairro 5331,26019,9,1275,141
Bairro 5332,22785,1,2612,117
Bairro 5333,54591,3,2860,128
Bairro 5334,15798,1,649,128
Bairro 5335,7645,4,2355,114
Bairro 5336,31898,10,2556,47
Bairro 5337,59462,2,1506,140
Bairro 5338,40416,8,1245,94
Bairro 5339,17935,3,2314,66
Bairro 5340,26463,5,2839,91
Bairro 5341,18232,6,1884,147
Bairro 5342,34162,9,2199,90
Bairro 5343,48822,1,2237,142
Bairro 5344,20008,8,1765,37
Bairro 5345,11874,8,1387,108
Bairro 5346,33393,7,2888,21
Bairro 5347,57433,10,1789,78
Bairro 5348,26456,2,2281,118
Bairro 5349,20724,2,2104,115
Bairro 5350,21920,8,2657,115
Bairro 5351,50752,1,1776,29
Bairro 5352,56285,9,1496,73
Bairro 5353,56796,8,1533,105
Bairro 5354,21998,5,1067,57
Bairro 5355,50246,10,1120,89
Bairro 5356,51440,9,1989,104
Bairro 5357,15785,9,1340,28
Bairro 5358,14898,8,1171,38
Bairro 5359,8062,8,2643,22
Bairro 5360,51539,8,962,106
Bairro 5361,52021,7,1786,149
Bairro 5362,48592,2,2510,86
Bairro 5363,51679,7,1483,144
Bairro 5364,6280,2,1456,126
Bairro 5365,19970,5,961,101
Bairro 5366,51490,1,2194,136
Bairro 5367,4470,9,901,57
Bairro 5368,8629,9,1048,25
Bairro 5369,24368,10,1262,142
Bairro 5370,48382,6,2591,125
Bairro 5371,29316,3,1345,147
Bairro 5372,56871,1,1621,20
Bairro 5373,38100,9,1881,50
Bairro 5374,59171,7,1130,104
Bairro 5375,58508,4,1255,99
Bairro 5376,36737,9,1271,23
Bairro 5377,37706,4,970,43
Bairro 5378,48466,5,2341,116
Bairro 5379,50835,3,1110,74
Bairro 5380,58231,2,1405,23
Bairro 5381,5384,1,583,91
Bairro 5382,30841,1,2564,62
Bairro 5383,20766,4,1644,39
Bairro 5384,58502,4,983,57
Bairro 5385,32435,4,850,91
Bairro 5386,44008,5,1408,21
Bairro 5387,22750,8,1276,122
Bairro 5388,55504,8,864,105
Bairro 5389,5235,1,1261,127
Bairro 5390,50220,7,1019,132
Bairro 5391,33771,3,2214,137
Bairro 5392,8763,3,1585,24
Bairro 5393,21016,5,2142,29
Bairro 5394,42371,5,2872,123
Bairro 5395,48752,7,2302,139
Bairro 5396,45584,3,1067,142
Bairro 5397,53587,5,1535,97
Bairro 5398,9288,7,560,149
Bairro 5399,46188,2,2053,127
Bairro 5400,55182,2,1151,37
Bairro 5401,28412,5,802,69
Bairro 5402,22405,6,1844,45
Bairro 5403,53032,6,1015,143
Bairro 5404,5529,7,2128,30
Bairro 5405,11827,5,2304,120
Bairro 5406,57754,7,634,148
Bairro 5407,50752,1,1941,108
Bairro 5408,12417,10,2590,95
Bairro 5409,33058,4,1440,48
Bairro 5410,9719,4,1622,32
Bairro 5411,43347,9,614,67
Bairro 5412,34348,10,1734,112
Bairro 5413,59174,2,691,47
Bairro 5414,44805,4,1482,31
Bairro 5415,27496,4,2732,117
Bairro 5416,41119,3,1694,145
Bairro 5417,9241,2,2099,69
Bairro 5418,34397,3,2452,27
Bairro 5419,37348,7,1396,104
Bairro 5420,26915,2,1483,76
Bairro 5421,29663,4,1660,74
Bairro 5422,26495,4,1993,129
Bairro 5423,38505,9,1730,32
Bairro 5424,11818,6,1890,148
Bairro 5425,53538,7,2224,99
Bairro 5426,20913,2,550,74
Bairro 5427,34008,1,2304,87
Bairro 5428,27544,4,2765,59
Bairro 5429,15620,3,1598,76
Bairro 5430,47609,1,2486,63
Bairro 5431,44509,7,1845,98
Bairro 5432,21832,6,613,23
Bairro 5433,16648,4,948,103
Bairro 5434,45275,2,601,85
Bairro 5435,16450,1,2609,81
Bairro 5436,37526,3,579,123
Bairro 5437,7401,6,2101,20
Bairro 5438,26926,9,1760,66
Bairro 5439,39009,5,2434,139
Bairro 5440,21026,4,2181,77
Bairro 5441,8236,7,1878,68
Bairro 5442,45775,3,2388,120
Bairro 5443,31732,7,1520,47
Bairro 5444,31974,6,2067,82
Bairro 5445,42482,7,776,72
Bairro 5446,23144,2,987,44
Bairro 5447,28514,2,2485,36
Bairro 5448,51609,9,2935,33
Bairro 5449,9855,5,2270,116
Bairro 5450,32174,7,807,132
Bairro 5451,44445,6,2964,141
Bairro 5452,45378,9,2187,94
Bairro 5453,50408,7,1211,116
Bairro 5454,24221,3,848,59
Bairro 5455,22937,9,1623,50
Bairro 5456,54164,9,1049,97
Bairro 5457,40136,10,1191,70
Bairro 5458,45680,9,2388,84
Bairro 5459,7223,4,1590,83
Bairro 5460,14191,4,2647,60
Bairro 5461,20379,5,1763,21
Bairro 5462,15695,8,1352,39
Bairro 5463,9183,10,2018,23
Bairro 5464,56119,4,1255,114
Bairro 5465,48533,4,763,36
Bairro 5466,28833,6,2820,41
Bairro 5467,13036,10,2982,144
Bairro 5468,51026,10,1326,128
Bairro 5469,58286,6,2716,101
Bairro 5470,12780,5,653,139
Bairro 5471,16656,3,1356,120
Bairro 5472,24995,1,2714,132
Bairro 5473,44617,9,1793,137
Bairro 5474,41131,4,2961,129
Bairro 5475,12009,10,1188,86
Bairro 5476,41985,2,2471,41
Bairro 5477,18220,8,2579,114
Bairro 5478,10046,10,2050,67
Bairro 5479,6605,2,2286,133
Bairro 5480,52919,1,2864,56
Bairro 5481,45165,1,2932,96
Bairro 5482,59270,9,894,41
Bairro 5483,33105,8,2851,46
Bairro 5484,13665,3,2119,72
Bairro 5485,23925,6,2245,136
Bairro 5486,21586,5,2307,124
Bairro 5487,46369,8,1341,49
Bairro 5488,15330,9,2022,113
Bairro 5489,21177,5,2231,149
Bairro 5490,56022,10,902,80
Bairro 5491,13644,5,2470,48
Bairro 5492,45848,9,1682,147
Bairro 5493,54902,10,1236,28
Bairro 5494,26033,4,2400,37
Bairro 5495,36911,1,1084,105
Bairro 5496,29288,6,2044,122
Bairro 5497,52890,5,1353,116
Bairro 5498,38084,2,2147,62
Bairro 5499,10220,10,637,128
Bairro 5500,45064,6,2630,134
Bairro 5501,12813,9,2926,142
Bairro 5502,31692,5,2991,21
Bairro 5503,36771,10,1730,53
Bairro 5504,42170,10,2724,94
Bairro 5505,15619,2,1148,121
Bairro 5506,11201,2,1058,81
Bairro 5507,57250,9,2963,40
Bairro 5508,44533,3,1127,33
Bairro 5509,54852,6,2493,101
Bairro 5510,48619,4,1628,52
Bairro 5511,56141,8,2244,148
Bairro 5512,11276,7,589,37
Bairro 5513,55793,10,2487,42
Bairro 5514,29318,2,1351,56
Bairro 5515,25240,2,2320,113
Bairro 5516,26947,6,1682,116
Bairro 5517,5195,4,2625,130
Bairro 5518,7278,5,2554,35
Bairro 5519,52476,5,598,33
Bairro 5520,55751,6,2008,49
Bairro 5521,50872,3,2287,121
Bairro 5522,10600,1,1193,26
Bairro 5523,54369,5,599,68
Bairro 5524,6019,3,2739,114
Bairro 5525,42184,1,712,89
Bairro 5526,32053,4,1852,44
Bairro 5527,51420,9,948,22
Bairro 5528,39854,5,890,55
Bairro 5529,9189,1,579,66
Bairro 5530,29791,4,1376,97
Bairro 5531,25522,1,1673,114
Bairro 5532,54389,6,2070,26
Bairro 5533,43175,6,2053,72
Bairro 5534,21035,1,895,106
Bairro 5535,45748,5,2504,50
Bairro 5536,41464,7,687,107
Bairro 5537,22036,9,2171,114
Bairro 5538,38216,7,2883,68
Bairro 5539,50972,9,1983,94
Bairro 5540,46089,5,1516,143
Bairro 5541,25125,10,2190,147
Bairro 5542,46411,3,1724,121
Bairro 5543,21167,8,1957,141
Bairro 5544,25198,9,1913,36
Bairro 5545,36375,2,2954,139
Bairro 5546,6820,9,1269,128
Bairro 5547,44907,3,1155,129
Bairro 5548,13690,8,1801,109
Bairro 5549,28920,8,2631,55
Bairro 5550,36745,8,587,125
Bairro 5551,32374,6,1358,29
Bairro 5552,51946,8,1811,90
Bairro 5553,8904,7,1771,57
Bairro 5554,52684,4,1979,143
Bairro 5555,33607,2,1492,35
Bairro 5556,53533,5,1906,55
Bairro 5557,58813,3,2320,121
Bairro 5558,47241,4,2118,72
Bairro 5559,58917,7,1521,37
Bairro 5560,6900,6,1319,126
Bairro 5561,24590,4,1128,21
Bairro 5562,19408,1,1443,85
Bairro 5563,29832,7,1522,31
Bairro 5564,51737,2,2726,60
Bairro 5565,57102,7,1018,102
Bairro 5566,37490,7,1627,118
Bairro 5567,15420,4,2216,51
Bairro 5568,40018,4,1299,132
Bairro 5569,24187,4,2790,121
Bairro 5570,47096,9,1461,36
Bairro 5571,10122,3,1541,85
Bairro 5572,31767,1,2560,50
Bairro 5573,49515,7,636,29
Bairro 5574,5388,6,1022,78
Bairro 5575,34493,8,2051,129
Bairro 5576,41555,5,1078,147
Bairro 5577,28443,6,1371,70
Bairro 5578,53986,10,555,37
Bairro 5579,39080,1,2870,23
Bairro 5580,30432,7,1814,65
Bairro 5581,19811,8,2019,20
Bairro 5582,46934,7,2984,93
Bairro 5583,38763,4,1402,132
Bairro 5584,29779,3,2423,123
Bairro 5585,53260,5,1823,126
Bairro 5586,21906,7,1965,122
Bairro 5587,25301,8,640,93
Bairro 5588,17217,4,559,51
Bairro 5589,12646,2,2687,136
Bairro 5590,26391,5,2450,54
Bairro 5591,43338,3,2516,91
Bairro 5592,21501,8,2222,93
Bairro 5593,32988,6,1178,144
Bairro 5594,4637,3,697,144
Bairro 5595,29745,5,1288,143
Bairro 5596,59078,2,2353,143
Bairro 5597,37464,3,1640,125
Bairro 5598,39268,2,902,110
Bairro 5599,46678,10,864,48
Bairro 5600,37988,9,2488,102
Bairro 5601,28404,5,1700,104
Bairro 5602,55301,3,887,58
Bairro 5603,11657,4,2771,72
Bairro 5604,13632,2,1437,38
Bairro 5605,49691,2,2014,81
Bairro 5606,20632,5,1105,21
Bairro 5607,42941,6,1658,126
Bairro 5608,5094,2,2512,20
Bairro 5609,18892,3,2584,25
Bairro 5610,37622,3,2493,48
Bairro 5611,41738,5,2231,67
Bairro 5612,27058,6,2066,131
Bairro 5613,32966,9,716,101
Bairro 5614,20166,1,1482,38
Bairro 5615,50894,4,893,37
Bairro 5616,7358,3,1828,50
Bairro 5617,21297,2,2855,146
Bairro 5618,6736,7,2032,74
Bairro 5619,13716,10,1953,55
Bairro 5620,40279,8,989,117
Bairro 5621,5813,5,842,136
Bairro 5622,16892,9,2736,121
Bairro 5623,32204,4,1900,143
Bairro 5624,6044,8,1929,74
Bairro 5625,8704,6,1137,45
Bairro 5626,9101,6,2950,44
Bairro 5627,30166,9,1745,46
Bairro 5628,58686,4,1337,68
Bairro 5629,35668,8,725,142
Bairro 5630,57882,5,2041,113
Bairro 5631,48235,4,537,76
Bairro 5632,25519,5,2005,121
Bairro 5633,39967,1,2091,77
Bairro 5634,21582,8,578,98
Bairro 5635,7008,1,2646,148
Bairro 5636,43814,8,1265,56
Bairro 5637,19888,7,1822,85
Bairro 5638,27470,2,2700,51
Bairro 5639,53099,5,1228,105
Bairro 5640,59244,8,2351,62
Bairro 5641,31044,5,701,146
Bairro 5642,31212,6,1976,127
Bairro 5643,46113,4,2799,89
Bairro 5644,11982,9,2916,107
Bairro 5645,35406,8,1211,105
Bairro 5646,29383,9,991,99
Bairro 5647,14543,3,852,134
Bairro 5648,57346,1,2559,87
Bairro 5649,19390,5,1647,32
Bairro 5650,43527,3,1146,70
Bairro 5651,10832,9,1464,119
Bairro 5652,53587,3,2905,72
Bairro 5653,24598,10,1647,117
Bairro 5654,27675,5,2815,71
Bairro 5655,26445,8,665,119
Bairro 5656,47377,8,1821,134
Bairro 5657,44088,7,2367,84
Bairro 5658,13730,6,1937,120
Bairro 5659,33547,9,1912,53
Bairro 5660,8365,1,806,137
Bairro 5661,39483,7,1891,135
Bairro 5662,50127,1,2491,69
Bairro 5663,30523,4,1393,135
Bairro 5664,25475,5,804,106
Bairro 5665,6624,1,1585,58
Bairro 5666,54710,9,2043,69
Bairro 5667,8521,2,692,116
Bairro 5668,38322,7,2609,47
Bairro 5669,28274,8,1361,83
Bairro 5670,48116,9,2445,36
Bairro 5671,36992,4,2272,94
Bairro 5672,36563,8,2908,55
Bairro 5673,49028,2,1561,67
Bairro 5674,55874,8,539,28
Bairro 5675,54770,1,838,42
Bairro 5676,17227,5,2727,33
Bairro 5677,8985,8,920,126
Bairro 5678,4678,2,2747,62
Bairro 5679,45374,7,2050,98
Bairro 5680,20511,7,1971,135
Bairro 5681,55770,8,827,40
Bairro 5682,21471,9,1167,149
Bairro 5683,46931,4,2103,58
Bairro 5684,51413,8,2197,104
Bairro 5685,46470,8,2809,58
Bairro 5686,13510,8,705,22
Bairro 5687,49174,7,1009,101
Bairro 5688,36056,6,2765,131
Bairro 5689,46060,3,2392,62
Bairro 5690,6361,4,791,78
Bairro 5691,38284,5,2841,64
Bairro 5692,9989,4,2402,121
Bairro 5693,44298,9,1365,94
Bairro 5694,15601,2,2617,35
Bairro 5695,22504,4,1023,30
Bairro 5696,46110,5,2046,21
Bairro 5697,22620,5,1755,65
Bairro 5698,59286,9,608,126
Bairro 5699,48177,5,2725,36
Bairro 5700,5644,5,927,42
Bairro 5701,34254,8,2999,26
Bairro 5702,29626,2,808,23
Bairro 5703,38986,9,2321,35
Bairro 5704,39791,1,2185,58
Bairro 5705,32223,10,1921,55
Bairro 5706,11772,3,544,127
Bairro 5707,30305,7,2479,107
Bairro 5708,31106,1,1830,62
Bairro 5709,7591,5,2249,21
Bairro 5710,49121,4,2027,80
Bairro 5711,45073,1,2603,97
Bairro 5712,40066,2,636,91
Bairro 5713,30162,10,1256,41
Bairro 5714,38249,1,1274,21
Bairro 5715,8461,6,1566,132
Bairro 5716,28819,3,1997,143
Bairro 5717,39436,1,2853,63
Bairro 5718,18141,3,2894,145
Bairro 5719,50596,2,2484,109
Bairro 5720,30021,1,1179,34
Bairro 5721,12277,3,1050,30
Bairro 5722,30417,7,2692,54
Bairro 5723,28830,7,656,48
Bairro 5724,20057,10,2754,54
Bairro 5725,28205,6,2443,70
Bairro 5726,6371,3,2644,98
Bairro 5727,9662,3,2928,105
Bairro 5728,18190,1,1743,41
Bairro 5729,12744,6,1121,38
Bairro 5730,46201,7,1088,86
Bairro 5731,51816,5,1428,135
Bairro 5732,42066,6,705,64
Bairro 5733,9512,5,719,79
Bairro 5734,27034,10,1521,142
Bairro 5735,35410,2,2959,105
Bairro 5736,56116,10,1602,92
Bairro 5737,31342,4,1689,30
Bairro 5738,34935,6,1499,21
Bairro 5739,57263,8,1093,51
Bairro 5740,21581,10,2017,126
Bairro 5741,15860,8,555,57
Bairro 5742,18211,7,1147,87
Bairro 5743,41483,6,1705,134
Bairro 5744,53629,3,706,131
Bairro 5745,26929,9,2556,53
Bairro 5746,30920,8,2289,46
Bairro 5747,54054,4,1496,131
Bairro 5748,41752,3,1351,31
Bairro 5749,51746,6,1839,61
Bairro 5750,44467,5,708,133
Bairro 5751,34769,6,918,39
Bairro 5752,17266,7,669,101
Bairro 5753,41228,6,2339,115
Bairro 5754,27739,9,695,113
Bairro 5755,21014,10,1245,86
Bairro 5756,50871,2,1659,117
Bairro 5757,35287,5,1229,97
Bairro 5758,55432,2,1887,113
Bairro 5759,13242,4,1564,74
Bairro 5760,54312,7,2776,149
Bairro 5761,20136,7,907,85
Bairro 5762,46040,8,2959,20
Bairro 5763,14508,8,2548,93
Bairro 5764,27009,9,1356,33
Bairro 5765,40587,10,1032,138
Bairro 5766,5193,1,590,124
Bairro 5767,17397,8,2791,80
Bairro 5768,6790,2,2950,108
Bairro 5769,34626,2,2773,119
Bairro 5770,9429,5,1917,30
Bairro 5771,45942,8,1316,148
Bairro 5772,44165,5,2495,74
Bairro 5773,25621,3,2302,37
Bairro 5774,35196,3,1482,96
Bairro 5775,32878,1,1247,108
Bairro 5776,46910,2,1639,65
Bairro 5777,12341,1,2013,138
Bairro 5778,49834,7,1343,71
Bairro 5779,58206,10,920,78
Bairro 5780,26999,9,2549,60
Bairro 5781,52040,4,1368,103
Bairro 5782,11406,7,1841,63
Bairro 5783,45073,6,1935,42
Bairro 5784,9478,1,787,100
Bairro 5785,54245,7,1980,128
Bairro 5786,39716,6,1724,120
Bairro 5787,34888,9,2236,45
Bairro 5788,49461,4,951,106
Bairro 5789,35198,6,1509,119
Bairro 5790,8551,2,1396,104
Bairro 5791,52704,7,702,139
Bairro 5792,20131,7,2231,70
Bairro 5793,43473,6,1820,111
Bairro 5794,48346,7,833,117
Bairro 5795,28306,4,1733,97
Bairro 5796,13027,7,1490,64
Bairro 5797,36542,4,1783,63
Bairro 5798,50036,5,1434,51
Bairro 5799,4350,10,2388,57
Bairro 5800,31566,7,2738,125
Bairro 5801,36457,5,1712,49
Bairro 5802,11121,7,2927,27
Bairro 5803,37527,4,1607,23
Bairro 5804,9765,6,939,26
Bairro 5805,29037,4,1312,146
Bairro 5806,40130,5,1278,69
Bairro 5807,55952,1,2375,136
Bairro 5808,22036,8,545,58
Bairro 5809,37908,2,787,50
Bairro 5810,35785,6,2084,85
Bairro 5811,11493,1,2621,32
Bairro 5812,14926,2,1637,47
Bairro 5813,25578,10,2367,31
Bairro 5814,30137,7,888,112
Bairro 5815,24929,5,534,84
Bairro 5816,12081,9,2844,55
Bairro 5817,22587,6,945,129
Bairro 5818,19689,3,1125,25
Bairro 5819,27640,4,2895,50
Bairro 5820,42051,4,2773,116
Bairro 5821,18125,3,2887,82
Bairro 5822,54774,7,780,40
Bairro 5823,33818,10,610,66
Bairro 5824,45487,6,2868,30
Bairro 5825,19955,5,1063,121
Bairro 5826,51338,6,518,25
Bairro 5827,58702,4,680,138
Bairro 5828,12008,10,2116,72
Bairro 5829,9591,2,1768,114
Bairro 5830,20181,2,720,115
Bairro 5831,12741,6,2204,96
Bairro 5832,19059,9,1183,89
Bairro 5833,44949,8,1243,40
Bairro 5834,55903,9,2117,112
Bairro 5835,39411,2,795,127
Bairro 5836,57852,6,1787,39
Bairro 5837,46789,9,810,93
Bairro 5838,55409,3,2443,38
Bairro 5839,47759,5,2899,67
Bairro 5840,6083,9,753,133
Bairro 5841,15028,2,2883,37
Bairro 5842,59277,2,1981,66
Bairro 5843,48033,4,2057,91
